glyph_name,ps_name,sort_final
.notdef,.notdef,0
fluteChart,uniE000,1
fluteCFoot,uniE001,2
fluteBFoot,uniE002,3
fluteRHCSharpTrill,uniE003,4
fluteOpenHoleSystem,uniE004,5
fluteKingmaSystem,uniE005,6
fluteLHThumbBFlatClosed,uniE006,7
fluteLHThumbBClosed,uniE007,8
fluteLH1stFingerClosed,uniE008,9
fluteLH2ndFingerClosed,uniE009,10
fluteLH3rdFingerClosed,uniE00A,11
fluteLHGSharpClosed,uniE00B,12
fluteRHCSharpTrillClosed,uniE00C,13
fluteRHBFlatTrillClosed,uniE00D,14
fluteRH1stFingerClosed,uniE00E,15
fluteRHDTrillClosed,uniE00F,16
fluteRH2ndFingerClosed,uniE010,17
fluteRHDSharpTrillClosed,uniE011,18
fluteRH3rdFingerClosed,uniE012,19
fluteRHEFlatPaddleClosed,uniE013,20
fluteRHLowCSharpClosed,uniE014,21
fluteRHLowCClosed,uniE015,22
fluteRHLowBClosed,uniE016,23
fluteRHGizmoClosed,uniE017,24
fluteKingmaCUpLeverClosed,uniE018,25
fluteKingmaAuxCSharpTrillClosed,uniE019,26
fluteKingmaBbUpLeverClosed,uniE01A,27
fluteKingmaBUpLeverClosed,uniE01B,28
fluteKingmaGUpLeverClosed,uniE01C,29
fluteKingmaFSharpBarClosed,uniE01D,30
fluteKingmaDUpLeverClosed,uniE01E,31
fluteLH2ndFingerRingOnly,uniE01F,32
fluteLH3rdFingerRingOnly,uniE020,33
fluteRH1stFingerRingOnly,uniE021,34
fluteRH2ndFingerRingOnly,uniE022,35
fluteRH3rdFingerRingOnly,uniE023,36
fluteLH1stFingerHalfClosedLeft,uniE024,37
fluteLH2ndFingerHalfClosedLeft,uniE025,38
fluteLH3rdFingerHalfClosedLeft,uniE026,39
fluteRH1stFingerHalfClosedLeft,uniE027,40
fluteRH2ndFingerHalfClosedLeft,uniE028,41
fluteRH3rdFingerHalfClosedLeft,uniE029,42
fluteLH1stFingerHalfClosedRight,uniE02A,43
fluteLH2ndFingerHalfClosedRight,uniE02B,44
fluteLH3rdFingerHalfClosedRight,uniE02C,45
fluteRH1stFingerHalfClosedRight,uniE02D,46
fluteRH2ndFingerHalfClosedRight,uniE02E,47
fluteRH3rdFingerHalfClosedRight,uniE02F,48
fluteLH1stFingerQuarterClosedLeft,uniE030,49
fluteLH2ndFingerQuarterClosedLeft,uniE031,50
fluteLH3rdFingerQuarterClosedLeft,uniE032,51
fluteRH1stFingerQuarterClosedLeft,uniE033,52
fluteRH2ndFingerQuarterClosedLeft,uniE034,53
fluteRH3rdFingerQuarterClosedLeft,uniE035,54
fluteLH1stFingerQuarterClosedRight,uniE036,55
fluteLH2ndFingerQuarterClosedRight,uniE037,56
fluteLH3rdFingerQuarterClosedRight,uniE038,57
fluteRH1stFingerQuarterClosedRight,uniE039,58
fluteRH2ndFingerQuarterClosedRight,uniE03A,59
fluteRH3rdFingerQuarterClosedRight,uniE03B,60
fluteLHThumbBFlatTrill,uniE03C,61
fluteLHThumbBTrill,uniE03D,62
fluteLH1stFingerTrill,uniE03E,63
fluteLH2ndFingerTrill,uniE03F,64
fluteLH3rdFingerTrill,uniE040,65
fluteLHGSharpTrill,uniE041,66
fluteRHCSharpTrillTrill,uniE042,67
fluteRHBFlatTrillTrill,uniE043,68
fluteRH1stFingerTrill,uniE044,69
fluteRHDTrillTrill,uniE045,70
fluteRH2ndFingerTrill,uniE046,71
fluteRHDSharpTrillTrill,uniE047,72
fluteRH3rdFingerTrill,uniE048,73
fluteRHEFlatPaddleTrill,uniE049,74
fluteRHLowCSharpTrill,uniE04A,75
fluteRHLowCTrill,uniE04B,76
fluteRHLowBTrill,uniE04C,77
fluteRHGizmoTrill,uniE04D,78
fluteKingmaCUpLeverTrill,uniE04E,79
fluteKingmaAuxCSharpTrillTrill,uniE04F,80
fluteKingmaBbUpLeverTrill,uniE050,81
fluteKingmaBUpLeverTrill,uniE051,82
fluteKingmaGUpLeverTrill,uniE052,83
fluteKingmaFSharpBarTrill,uniE053,84
fluteKingmaDUpLeverTrill,uniE054,85
clarinetChart,uniE0A0,86
clarinetBassEFlatOpen,uniE0A1,87
clarinetRegisterClosed,uniE0A2,88
clarinetLHThumbClosed,uniE0A3,89
clarinetLHAClosed,uniE0A4,90
clarinetLHGSharpClosed,uniE0A5,91
clarinetLH1stFingerClosed,uniE0A6,92
clarinetLH2ndFingerClosed,uniE0A7,93
clarinetLHEFlatClosed,uniE0A8,94
clarinetLH3rdFingerClosed,uniE0A9,95
clarinetLHCSharpClosed,uniE0AA,96
clarinetLHFClosed,uniE0AB,97
clarinetLHGSharpAltClosed,uniE0AC,98
clarinetLHEClosed,uniE0AD,99
clarinetRH1stSideClosed,uniE0AE,100
clarinetRH2ndSideClosed,uniE0AF,101
clarinetRH3rdSideClosed,uniE0B0,102
clarinetRH4thSideClosed,uniE0B1,103
clarinetRH1stFingerClosed,uniE0B2,104
clarinetRH2ndFingerClosed,uniE0B3,105
clarinetRHBClosed,uniE0B4,106
clarinetRH3rdFingerClosed,uniE0B5,107
clarinetRHFSharpClosed,uniE0B6,108
clarinetRHGSharpClosed,uniE0B7,109
clarinetRHEClosed,uniE0B8,110
clarinetRHFClosed,uniE0B9,111
clarinetBassEFlatClosed,uniE0BA,112
clarinetLH1stFingerRingOnly,uniE0BB,113
clarinetLH2ndFingerRingOnly,uniE0BC,114
clarinetLH3rdFingerRingOnly,uniE0BD,115
clarinetRH1stFingerRingOnly,uniE0BE,116
clarinetRH2ndFingerRingOnly,uniE0BF,117
clarinetRH3rdFingerRingOnly,uniE0C0,118
clarinetLH1stFingerHalfClosedLeft,uniE0C1,119
clarinetLH2ndFingerHalfClosedLeft,uniE0C2,120
clarinetLH3rdFingerHalfClosedLeft,uniE0C3,121
